"","fechaPred","varHist","varHistPonde"
"812","23-Mar-18",1.00943850092146,1.11574481787527
"813","26-Mar-18",1.02915784683224,1.80051152229832
"816","27-Mar-18",1.02915784683224,1.80051152229832
"817","28-Mar-18",1.02915784683224,1.80051152229832
"818","2-Apr-18",1.03685335716752,1.80051152229832
"823","3-Apr-18",1.03685335716752,1.80051152229832
"824","4-Apr-18",1.03685335716752,1.80051152229832
"825","5-Apr-18",1.03685335716752,1.80051152229832
"826","6-Apr-18",1.03685335716752,1.43941637035721
"827","9-Apr-18",1.03685335716752,1.43941637035721
"830","10-Apr-18",1.03685335716752,1.43941637035721
"831","11-Apr-18",1.03685335716752,1.43941637035721
"832","12-Apr-18",1.03685335716752,1.43941637035721
"833","13-Apr-18",1.03685335716752,1.43941637035721
"834","16-Apr-18",1.03685335716752,1.43941637035721
"837","17-Apr-18",1.03685335716752,1.43941637035721
"838","18-Apr-18",1.02915784683224,1.43941637035721
"839","19-Apr-18",1.02915784683224,1.43941637035721
"840","20-Apr-18",1.02915784683224,1.43941637035721
"841","23-Apr-18",1.02915784683224,1.43941637035721
"844","24-Apr-18",1.02915784683224,1.43941637035721
"845","25-Apr-18",1.02915784683224,1.43941637035721
"846","26-Apr-18",1.02915784683224,1.41659838424981
"847","27-Apr-18",1.02915784683224,1.40010604966445
"848","30-Apr-18",1.02915784683224,1.12016770018431
"851","2-May-18",1.02915784683224,1.11574481787527
"853","3-May-18",1.03685335716752,1.14005727338198
"854","4-May-18",1.07247908584839,1.50860395099027
"855","7-May-18",1.07247908584839,1.50860395099027
"858","8-May-18",1.11109541513471,1.50860395099027
"859","9-May-18",1.11109541513471,1.50860395099027
"860","10-May-18",1.11109541513471,1.50860395099027
"861","11-May-18",1.11109541513471,1.43941637035721
"862","14-May-18",1.11109541513471,1.43941637035721
"865","15-May-18",1.11109541513471,1.43941637035721
"866","16-May-18",1.11109541513471,1.43941637035721
"867","17-May-18",1.11109541513471,1.43941637035721
"868","18-May-18",1.11773511491434,1.43941637035721
"869","21-May-18",1.11109541513471,1.43941637035721
"872","22-May-18",1.11109541513471,1.43941637035721
"873","23-May-18",1.11109541513471,1.40010604966445
"874","24-May-18",1.11109541513471,1.37055819976271
"875","25-May-18",1.11109541513471,1.37055819976271
"876","28-May-18",1.11109541513471,1.37055819976271
"879","29-May-18",1.11109541513471,1.37055819976271
"880","30-May-18",1.11109541513471,1.37055819976271
"881","31-May-18",1.11109541513471,1.37055819976271
"882","1-Jun-18",1.11109541513471,1.37055819976271
"883","4-Jun-18",1.11109541513471,1.37055819976271
"886","5-Jun-18",1.11109541513471,1.37055819976271
"887","6-Jun-18",1.11109541513471,1.37055819976271
"888","7-Jun-18",1.11109541513471,1.37055819976271
"889","8-Jun-18",1.11109541513471,1.37055819976271
